"","species","genus","family","family.in.genus.list","output.note"
"44","Stellaria Uliginosa",NA,NA,"Caryophyllaceae","insertion based on genus"
"46","Holosteum Umbellatum",NA,NA,"Caryophyllaceae","insertion based on genus"
"48","Cerastium Brachypetalum",NA,NA,"Caryophyllaceae","insertion based on genus"
"51","Moenchia Erecta",NA,NA,"Caryophyllaceae","insertion based on genus"
"52","Myosoton Aquaticum",NA,NA,"Caryophyllaceae","insertion based on genus"
"54","Sagina Maritima",NA,NA,"Caryophyllaceae","insertion based on genus"
"55","Scleranthus Annuus",NA,NA,"Caryophyllaceae","insertion based on genus"
"58","Corrigiola Litoralis",NA,NA,"Caryophyllaceae","insertion based on genus"
"59","Herniaria Glabra",NA,NA,"Caryophyllaceae","insertion based on genus"
"60","Illecebrum Verticillatum",NA,NA,"Caryophyllaceae","insertion based on genus"
"61","Spergula Arvensis",NA,NA,"Caryophyllaceae","insertion based on genus"
"64","Spergularia Media",NA,NA,"Caryophyllaceae","insertion based on genus"
"66","Lychnis Flos-Cuculi",NA,NA,"Caryophyllaceae","insertion based on family"
"68","Agrostemma Githago",NA,NA,"Caryophyllaceae","insertion based on genus"
"70","Silene Latifolia",NA,NA,"Caryophyllaceae","insertion based on genus"
"71","Saponaria Officinalis",NA,NA,"Caryophyllaceae","insertion based on genus"
"73","Dianthus Gratianopolitanus",NA,NA,"Caryophyllaceae","insertion based on genus"
"75","Nymphaea Alba",NA,NA,"Nymphaeaceae","insertion based on genus"
"76","Nuphar Pumila",NA,NA,"Nymphaeaceae","insertion based on genus"
"77","Ceratophyllum Demersum",NA,NA,"Ceratophyllaceae","insertion based on genus"
"78","Helleborus Viridis",NA,NA,"Ranunculaceae","insertion based on genus"
"79","Eranthis Hyemalis",NA,NA,"Ranunculaceae","insertion based on genus"
"80","Trollius Europaeus",NA,NA,"Ranunculaceae","insertion based on genus"
"81","Actaea Spicata",NA,NA,"Ranunculaceae","insertion based on genus"
"82","Caltha Palustris",NA,NA,"Ranunculaceae","insertion based on genus"
"83","Aconitum Napellus",NA,NA,"Ranunculaceae","insertion based on genus"
"84","Anemone Nemorosa",NA,NA,"Ranunculaceae","insertion based on genus"
"85","Pulsatilla Vulgaris",NA,NA,"Ranunculaceae","insertion based on genus"
"86","Clematis Vitalba",NA,NA,"Ranunculaceae","insertion based on genus"
"87","Adonis Annua",NA,NA,"Ranunculaceae","insertion based on genus"
"88","Ranunculus Tripartitus",NA,NA,"Ranunculaceae","insertion based on genus"
"89","Myosurus Minimus",NA,NA,"Ranunculaceae","insertion based on genus"
"90","Aquilegia Vulgaris",NA,NA,"Ranunculaceae","insertion based on genus"
"92","Thalictrum Alpinum",NA,NA,"Ranunculaceae","insertion based on genus"
"93","Berberis Vulgaris",NA,NA,"Berberidaceae","insertion based on genus"
"94","Mahonia Aquifolium",NA,NA,"Berberidaceae","insertion based on genus"
"95","Papaver Rhoeas",NA,NA,"Papaveraceae","insertion based on genus"
"96","Meconopsis Cambrica",NA,NA,"Papaveraceae","insertion based on genus"
"97","Glaucium Flavum",NA,NA,"Papaveraceae","insertion based on genus"
"98","Chelidonium Majus",NA,NA,"Papaveraceae","insertion based on genus"
"99","Ceratocapnos Claviculata",NA,NA,"Papaveraceae","insertion based on genus"
"100","Pseudofumaria Lutea",NA,NA,"Papaveraceae","insertion based on genus"
"101","Fumaria Purpurea",NA,NA,"Papaveraceae","insertion based on genus"
"102","Sisymbrium Altissimum",NA,NA,"Brassicaceae","insertion based on genus"
"103","Descurainia Sophia",NA,NA,"Brassicaceae","insertion based on genus"
"104","Alliaria Petiolata",NA,NA,"Brassicaceae","insertion based on genus"
"105","Arabidopsis Thaliana",NA,NA,"Brassicaceae","insertion based on genus"
"107","Isatis Tinctoria",NA,NA,"Brassicaceae","insertion based on genus"
"108","Erysimum Cheiri",NA,NA,"Brassicaceae","insertion based on genus"
"109","Hesperis Matronalis",NA,NA,"Brassicaceae","insertion based on genus"
"110","Matthiola Sinuata",NA,NA,"Brassicaceae","insertion based on genus"
"111","Barbarea Verna",NA,NA,"Brassicaceae","insertion based on genus"
"112","Rorippa Palustris",NA,NA,"Brassicaceae","insertion based on genus"
"113","Armoracia Rusticana",NA,NA,"Brassicaceae","insertion based on genus"
"114","Cardamine Pratensis",NA,NA,"Brassicaceae","insertion based on genus"
"116","Arabis Petraea",NA,NA,"Brassicaceae","insertion based on genus"
"117","Alyssum Alyssoides",NA,NA,"Brassicaceae","insertion based on genus"
"118","Lobularia Maritima",NA,NA,"Brassicaceae","insertion based on genus"
"119","Draba Norvegica",NA,NA,"Brassicaceae","insertion based on genus"
"120","Cochlearia Officinalis",NA,NA,"Brassicaceae","insertion based on genus"
"121","Camelina Sativa",NA,NA,"Brassicaceae","insertion based on genus"
"122","Capsella Bursa-Pastoris",NA,NA,"Brassicaceae","insertion based on genus"
"125","Hornungia Petraea",NA,NA,"Brassicaceae","insertion based on genus"
"126","Teesdalia Nudicaulis",NA,NA,"Brassicaceae","insertion based on genus"
"127","Thlaspi Perfoliatum",NA,NA,"Brassicaceae","insertion based on genus"
"128","Iberis Amara",NA,NA,"Brassicaceae","insertion based on genus"
"129","Lepidium Campestre",NA,NA,"Brassicaceae","insertion based on genus"
"130","Coronopus Didymus",NA,NA,"Brassicaceae","insertion based on family"
"131","Subularia Aquatica",NA,NA,"Brassicaceae","insertion based on family"
"132","Diplotaxis Muralis",NA,NA,"Brassicaceae","insertion based on genus"
"133","Brassica Nigra",NA,NA,"Brassicaceae","insertion based on genus"
"134","Sinapis Alba",NA,NA,"Brassicaceae","insertion based on genus"
"135","Coincya Wrightii",NA,NA,"Brassicaceae","insertion based on genus"
"136","Cakile Maritima",NA,NA,"Brassicaceae","insertion based on genus"
"137","Crambe Maritima",NA,NA,"Brassicaceae","insertion based on genus"
"138","Raphanus Raphanistrum",NA,NA,"Brassicaceae","insertion based on genus"
"139","Reseda Lutea",NA,NA,"Resedaceae","insertion based on genus"
"140","Sarracenia Purpurea",NA,NA,"Sarraceniaceae","insertion based on genus"
"141","Drosera Rotundifolia",NA,NA,"Droseraceae","insertion based on genus"
"142","Crassula Helmsii",NA,NA,"Crassulaceae","insertion based on genus"
"143","Umbilicus Rupestris",NA,NA,"Crassulaceae","insertion based on genus"
"144","Sedum Rupestre",NA,NA,"Crassulaceae","insertion based on genus"
"145","Saxifraga X Urbium",NA,NA,"Saxifragaceae","insertion based on genus"
"146","Chrysosplenium Alternifolium",NA,NA,"Saxifragaceae","insertion based on genus"
"147","Tolmiea Menziesii",NA,NA,"Saxifragaceae","insertion based on genus"
"148","Tellima Grandiflora",NA,NA,"Saxifragaceae","insertion based on genus"
"149","Parnassia Palustris",NA,NA,"Celastraceae","insertion based on genus"
"150","Escallonia Macrantha",NA,NA,"Escalloniaceae","insertion based on genus"
"151","Ribes Alpinum",NA,NA,"Grossulariaceae","insertion based on genus"
"152","Pittosporum Crassifolium",NA,NA,"Pittosporaceae","insertion based on genus"
"153","Filipendula Vulgaris",NA,NA,"Rosaceae","insertion based on genus"
"154","Rubus Fruticosus",NA,NA,"Rosaceae","insertion based on genus"
"155","Rosa Rubiginosa",NA,NA,"Rosaceae","insertion based on genus"
"156","Agrimonia Procera",NA,NA,"Rosaceae","insertion based on genus"
"157","Aremonia Agrimonioides",NA,NA,"Rosaceae","insertion based on family"
"158","Sanguisorba Officinalis",NA,NA,"Rosaceae","insertion based on genus"
"159","Acaena Anserinifolia",NA,NA,"Rosaceae","insertion based on genus"
"160","Dryas Octopetala",NA,NA,"Rosaceae","insertion based on genus"
"163","Geum Urbanum",NA,NA,"Rosaceae","insertion based on genus"
"165","Potentilla Erecta",NA,NA,"Rosaceae","insertion based on genus"
"166","Sibbaldia Procumbens",NA,NA,"Rosaceae","insertion based on genus"
"167","Fragaria Vesca",NA,NA,"Rosaceae","insertion based on genus"
"168","Alchemilla Subcrenata",NA,NA,"Rosaceae","insertion based on genus"
"169","Aphanes Inexspectata",NA,NA,"Rosaceae","insertion based on genus"
"170","Pyrus Cordata",NA,NA,"Rosaceae","insertion based on genus"
"171","Malus Domestica",NA,NA,"Rosaceae","insertion based on genus"
"172","Sorbus Aucuparia",NA,NA,"Rosaceae","insertion based on genus"
"173","Amelanchier Lamarckii",NA,NA,"Rosaceae","insertion based on genus"
"174","Crataegus Monogyna",NA,NA,"Rosaceae","insertion based on genus"
"175","Prunus Padus",NA,NA,"Rosaceae","insertion based on genus"
"176","Laburnum Anagyroides",NA,NA,"Fabaceae","insertion based on family"
"177","Cytisus Scoparius",NA,NA,"Fabaceae","insertion based on genus"
"178","Genista Tinctoria",NA,NA,"Fabaceae","insertion based on genus"
"179","Ulex Minor",NA,NA,"Fabaceae","insertion based on genus"
"180","Lupinus Arboreus",NA,NA,"Fabaceae","insertion based on genus"
"181","Robinia Pseudoacacia",NA,NA,"Fabaceae","insertion based on genus"
"182","Colutea Arborescens",NA,NA,"Fabaceae","insertion based on genus"
"183","Astragalus Glycyphyllos",NA,NA,"Fabaceae","insertion based on genus"
"184","Oxytropis Campestris",NA,NA,"Fabaceae","insertion based on genus"
"185","Vicia Sepium",NA,NA,"Fabaceae","insertion based on genus"
"186","Lathyrus Aphaca",NA,NA,"Fabaceae","insertion based on genus"
"187","Ononis Spinosa",NA,NA,"Fabaceae","insertion based on genus"
"188","Melilotus Albus",NA,NA,"Fabaceae","insertion based on genus"
"189","Medicago Lupulina",NA,NA,"Fabaceae","insertion based on genus"
"190","Trifolium Occidentale",NA,NA,"Fabaceae","insertion based on genus"
"191","Lotus Glaber",NA,NA,"Fabaceae","insertion based on genus"
"192","Anthyllis Vulneraria",NA,NA,"Fabaceae","insertion based on genus"
"193","Ornithopus Perpusillus",NA,NA,"Fabaceae","insertion based on genus"
"194","Securigera Varia",NA,NA,"Fabaceae","insertion based on genus"
"195","Hippocrepis Comosa",NA,NA,"Fabaceae","insertion based on genus"
"196","Onobrychis Viciifolia",NA,NA,"Fabaceae","insertion based on genus"
"197","Oxalis Stricta",NA,NA,"Oxalidaceae","insertion based on genus"
"198","Geranium Pyrenaicum",NA,NA,"Geraniaceae","insertion based on genus"
"200","Erodium Maritimum",NA,NA,"Geraniaceae","insertion based on genus"
"201","Linum Bienne",NA,NA,"Linaceae","insertion based on genus"
"202","Radiola Linoides",NA,NA,"Linaceae","insertion based on genus"
"203","Mercurialis Perennis",NA,NA,"Euphorbiaceae","insertion based on genus"
"204","Euphorbia Serrulata",NA,NA,"Euphorbiaceae","insertion based on genus"
"205","Polygala Vulgaris",NA,NA,"Polygalaceae","insertion based on genus"
"206","Acer Campestre",NA,NA,"Sapindaceae","insertion based on genus"
"207","Impatiens Parviflora",NA,NA,"Balsaminaceae","insertion based on genus"
"208","Ilex Aquifolium",NA,NA,"Aquifoliaceae","insertion based on genus"
"209","Euonymus Europaeus",NA,NA,"Celastraceae","insertion based on genus"
"210","Buxus Sempervirens",NA,NA,"Buxaceae","insertion based on genus"
"211","Rhamnus Cathartica",NA,NA,"Rhamnaceae","insertion based on genus"
"212","Frangula Alnus",NA,NA,"Rhamnaceae","insertion based on genus"
"213","Tilia Platyphyllos",NA,NA,"Malvaceae","insertion based on genus"
"214","Malva Moschata",NA,NA,"Malvaceae","insertion based on genus"
"215","Lavatera Cretica",NA,NA,"Malvaceae","insertion based on family"
"216","Althaea Officinalis",NA,NA,"Malvaceae","insertion based on genus"
"217","Daphne Mezereum",NA,NA,"Thymelaeaceae","insertion based on genus"
"219","Hippophae Rhamnoides",NA,NA,"Elaeagnaceae","insertion based on genus"
"220","Hypericum Hirsutum",NA,NA,"Hypericaceae","insertion based on genus"
"221","Viola Kitaibeliana",NA,NA,"Violaceae","insertion based on genus"
"222","Tuberaria Guttata",NA,NA,"Cistaceae","insertion based on genus"
"223","Helianthemum Nummularium",NA,NA,"Cistaceae","insertion based on genus"
"224","Frankenia Laevis",NA,NA,"Frankeniaceae","insertion based on genus"
"225","Elatine Hexandra",NA,NA,"Elatinaceae","insertion based on genus"
"226","Bryonia Dioica",NA,NA,"Cucurbitaceae","insertion based on genus"
"227","Lythrum Hyssopifolia",NA,NA,"Lythraceae","insertion based on genus"
"228","Fuchsia Magellanica",NA,NA,"Onagraceae","insertion based on genus"
"229","Circaea X Intermedia",NA,NA,"Onagraceae","insertion based on genus"
"230","Oenothera Cambrica",NA,NA,"Onagraceae","insertion based on genus"
"231","Ludwigia Palustris",NA,NA,"Onagraceae","insertion based on genus"
"232","Chamerion Angustifolium",NA,NA,"Onagraceae","insertion based on family"
"233","Epilobium Lanceolatum",NA,NA,"Onagraceae","insertion based on genus"
"234","Myriophyllum Alterniflorum",NA,NA,"Haloragaceae","insertion based on genus"
"235","Hippuris Vulgaris",NA,NA,"Plantaginaceae","insertion based on genus"
"237","Cornus Suecica",NA,NA,"Cornaceae","insertion based on genus"
"238","Hedera Helix",NA,NA,"Araliaceae","insertion based on genus"
"239","Hydrocotyle Vulgaris",NA,NA,"Araliaceae","insertion based on genus"
"240","Sanicula Europaea",NA,NA,"Apiaceae","insertion based on genus"
"241","Eryngium Maritimum",NA,NA,"Apiaceae","insertion based on genus"
"242","Chaerophyllum Temulum",NA,NA,"Apiaceae","insertion based on genus"
"243","Anthriscus Caucalis",NA,NA,"Apiaceae","insertion based on genus"
"244","Scandix Pecten-Veneris",NA,NA,"Apiaceae","insertion based on genus"
"245","Myrrhis Odorata",NA,NA,"Apiaceae","insertion based on genus"
"246","Smyrnium Olusatrum",NA,NA,"Apiaceae","insertion based on genus"
"247","Conopodium Majus",NA,NA,"Apiaceae","insertion based on genus"
"248","Pimpinella Saxifraga",NA,NA,"Apiaceae","insertion based on genus"
"251","Aegopodium Podagraria",NA,NA,"Apiaceae","insertion based on genus"
"252","Sium Latifolium",NA,NA,"Apiaceae","insertion based on genus"
"253","Crithmum Maritimum",NA,NA,"Apiaceae","insertion based on genus"
"254","Seseli Libanotis",NA,NA,"Apiaceae","insertion based on genus"
"257","Aethusa Cynapium",NA,NA,"Apiaceae","insertion based on genus"
"259","Meum Athamanticum",NA,NA,"Apiaceae","insertion based on family"
"260","Physospermum Cornubiense",NA,NA,"Apiaceae","insertion based on genus"
"261","Conium Maculatum",NA,NA,"Apiaceae","insertion based on genus"
"262","Trinia Glauca",NA,NA,"Apiaceae","insertion based on family"
"264","Apium Repens",NA,NA,"Apiaceae","insertion based on genus"
"265","Cicuta Virosa",NA,NA,"Apiaceae","insertion based on genus"
"266","Selinum Carvifolia",NA,NA,"Apiaceae","insertion based on genus"
"267","Ligusticum Scoticum",NA,NA,"Apiaceae","insertion based on genus"
"268","Angelica Sylvestris",NA,NA,"Apiaceae","insertion based on genus"
"270","Pastinaca Sativa",NA,NA,"Apiaceae","insertion based on genus"
"271","Heracleum Mantegazzianum",NA,NA,"Apiaceae","insertion based on genus"
"272","Daucus Carota",NA,NA,"Apiaceae","insertion based on genus"
"275","Diapensia Lapponica",NA,NA,"Diapensiaceae","insertion based on genus"
"276","Pyrola Minor",NA,NA,"Ericaceae","insertion based on genus"
"277","Orthilia Secunda",NA,NA,"Ericaceae","insertion based on genus"
"278","Moneses Uniflora",NA,NA,"Ericaceae","insertion based on genus"
"279","Monotropa Hypopitys",NA,NA,"Ericaceae","insertion based on genus"
"280","Calluna Vulgaris",NA,NA,"Ericaceae","insertion based on genus"
"281","Rhododendron Ponticum",NA,NA,"Ericaceae","insertion based on genus"
"283","Ledum Palustre",NA,NA,"Ericaceae","insertion based on family"
"284","Loiseleuria Procumbens",NA,NA,"Ericaceae","insertion based on family"
"285","Phyllodoce Caerulea",NA,NA,"Ericaceae","insertion based on genus"
"286","Arbutus Unedo",NA,NA,"Ericaceae","insertion based on genus"
"287","Arctostaphylos Alpinus",NA,NA,"Ericaceae","insertion based on genus"
"288","Gaultheria Mucronata",NA,NA,"Ericaceae","insertion based on genus"
"289","Andromeda Polifolia",NA,NA,"Ericaceae","insertion based on genus"
"290","Vaccinium Oxycoccos",NA,NA,"Ericaceae","insertion based on genus"
"291","Empetrum Nigrum",NA,NA,"Ericaceae","insertion based on genus"
"293","Primula Farinosa",NA,NA,"Primulaceae","insertion based on genus"
"294","Hottonia Palustris",NA,NA,"Primulaceae","insertion based on genus"
"295","Lysimachia Nummularia",NA,NA,"Primulaceae","insertion based on genus"
"296","Trientalis Europaea",NA,NA,"Primulaceae","insertion based on family"
"297","Glaux Maritima",NA,NA,"Primulaceae","insertion based on family"
"298","Anagallis Tenella",NA,NA,"Primulaceae","insertion based on family"
"299","Samolus Valerandi",NA,NA,"Primulaceae","insertion based on genus"
"300","Armeria Maritima",NA,NA,"Plumbaginaceae","insertion based on genus"
"301","Limonium Humile",NA,NA,"Plumbaginaceae","insertion based on genus"
"302","Fraxinus Excelsior",NA,NA,"Oleaceae","insertion based on genus"
"303","Ligustrum Vulgare",NA,NA,"Oleaceae","insertion based on genus"
"304","Cicendia Filiformis",NA,NA,"Gentianaceae","insertion based on genus"
"305","Blackstonia Perfoliata",NA,NA,"Gentianaceae","insertion based on genus"
"306","Centaurium Scilloides",NA,NA,"Gentianaceae","insertion based on genus"
"307","Gentiana Verna",NA,NA,"Gentianaceae","insertion based on genus"
"308","Gentianella Ciliata",NA,NA,"Gentianaceae","insertion based on genus"
"309","Menyanthes Trifoliata",NA,NA,"Menyanthaceae","insertion based on genus"
"310","Nymphoides Peltata",NA,NA,"Menyanthaceae","insertion based on genus"
"311","Vinca Minor",NA,NA,"Apocynaceae","insertion based on genus"
"312","Sherardia Arvensis",NA,NA,"Rubiaceae","insertion based on genus"
"315","Asperula Cynanchica",NA,NA,"Rubiaceae","insertion based on genus"
"317","Galium Aparine",NA,NA,"Rubiaceae","insertion based on genus"
"318","Cruciata Laevipes",NA,NA,"Rubiaceae","insertion based on genus"
"319","Rubia Peregrina",NA,NA,"Rubiaceae","insertion based on genus"
"320","Polemonium Caeruleum",NA,NA,"Polemoniaceae","insertion based on genus"
"322","Cuscuta Epithymum",NA,NA,"Convolvulaceae","insertion based on genus"
"323","Convolvulus Arvensis",NA,NA,"Convolvulaceae","insertion based on genus"
"325","Lithospermum Officinale",NA,NA,"Boraginaceae","insertion based on genus"
"326","Echium Plantagineum",NA,NA,"Boraginaceae","insertion based on genus"
"327","Pulmonaria Longifolia",NA,NA,"Boraginaceae","insertion based on genus"
"328","Symphytum Orientale",NA,NA,"Boraginaceae","insertion based on genus"
"329","Anchusa Arvensis",NA,NA,"Boraginaceae","insertion based on genus"
"330","Pentaglottis Sempervirens",NA,NA,"Boraginaceae","insertion based on genus"
"331","Trachystemon Orientalis",NA,NA,"Boraginaceae","insertion based on genus"
"332","Mertensia Maritima",NA,NA,"Boraginaceae","insertion based on genus"
"333","Amsinckia Lycopsoides",NA,NA,"Boraginaceae","insertion based on genus"
"334","Myosotis Alpestris",NA,NA,"Boraginaceae","insertion based on genus"
"335","Cynoglossum Germanicum",NA,NA,"Boraginaceae","insertion based on genus"
"336","Verbena Officinalis",NA,NA,"Verbenaceae","insertion based on genus"
"337","Callitriche Brutia",NA,NA,"Plantaginaceae","insertion based on family"
"338","Ajuga Chamaepitys",NA,NA,"Lamiaceae","insertion based on genus"
"339","Teucrium Botrys",NA,NA,"Lamiaceae","insertion based on genus"
"340","Scutellaria Galericulata",NA,NA,"Lamiaceae","insertion based on genus"
"341","Marrubium Vulgare",NA,NA,"Lamiaceae","insertion based on genus"
"343","Melittis Melissophyllum",NA,NA,"Lamiaceae","insertion based on genus"
"344","Galeopsis Speciosa",NA,NA,"Lamiaceae","insertion based on genus"
"345","Lamium Confertum",NA,NA,"Lamiaceae","insertion based on genus"
"346","Lamiastrum Galeobdolon",NA,NA,"Lamiaceae","insertion based on family"
"347","Ballota Nigra",NA,NA,"Lamiaceae","insertion based on genus"
"350","Stachys Sylvatica",NA,NA,"Lamiaceae","insertion based on genus"
"351","Nepeta Cataria",NA,NA,"Lamiaceae","insertion based on genus"
"354","Glechoma Hederacea",NA,NA,"Lamiaceae","insertion based on genus"
"355","Prunella Laciniata",NA,NA,"Lamiaceae","insertion based on genus"
"356","Clinopodium Calamintha",NA,NA,"Lamiaceae","insertion based on genus"
"358","Origanum Vulgare",NA,NA,"Lamiaceae","insertion based on genus"
"359","Thymus Pulegioides",NA,NA,"Lamiaceae","insertion based on genus"
"360","Lycopus Europaeus",NA,NA,"Lamiaceae","insertion based on genus"
"362","Mentha Pulegium",NA,NA,"Lamiaceae","insertion based on genus"
"364","Salvia Pratensis",NA,NA,"Lamiaceae","insertion based on genus"
"366","Lycium Barbarum",NA,NA,"Solanaceae","insertion based on genus"
"367","Atropa Belladonna",NA,NA,"Solanaceae","insertion based on genus"
"368","Hyoscyamus Niger",NA,NA,"Solanaceae","insertion based on genus"
"369","Solanum Nigrum",NA,NA,"Solanaceae","insertion based on genus"
"370","Datura Stramonium",NA,NA,"Solanaceae","insertion based on genus"
"371","Buddleja Davidii",NA,NA,"Scrophulariaceae","insertion based on genus"
"372","Limosella Aquatica",NA,NA,"Scrophulariaceae","insertion based on genus"
"373","Mimulus Guttatus",NA,NA,"Phrymaceae","insertion based on genus"
"374","Verbascum Pulverulentum",NA,NA,"Scrophulariaceae","insertion based on genus"
"375","Scrophularia Umbrosa",NA,NA,"Scrophulariaceae","insertion based on genus"
"376","Antirrhinum Majus",NA,NA,"Plantaginaceae","insertion based on genus"
"377","Misopates Orontium",NA,NA,"Plantaginaceae","insertion based on genus"
"378","Chaenorhinum Minus",NA,NA,"Plantaginaceae","insertion based on genus"
"379","Linaria Vulgaris",NA,NA,"Plantaginaceae","insertion based on genus"
"380","Kickxia Elatine",NA,NA,"Plantaginaceae","insertion based on genus"
"381","Digitalis Purpurea",NA,NA,"Plantaginaceae","insertion based on genus"
"382","Erinus Alpinus",NA,NA,"Plantaginaceae","insertion based on genus"
"383","Veronica Spicata",NA,NA,"Plantaginaceae","insertion based on genus"
"384","Hebe Salicifolia",NA,NA,"Plantaginaceae","insertion based on family"
"385","Sibthorpia Europaea",NA,NA,"Plantaginaceae","insertion based on genus"
"386","Melampyrum Cristatum",NA,NA,"Orobanchaceae","insertion based on genus"
"387","Euphrasia Foulaensis",NA,NA,"Orobanchaceae","insertion based on genus"
"388","Odontites Vernus",NA,NA,"Orobanchaceae","insertion based on genus"
"389","Bartsia Alpina",NA,NA,"Orobanchaceae","insertion based on genus"
"390","Parentucellia Viscosa",NA,NA,"Orobanchaceae","insertion based on genus"
"391","Pedicularis Palustris",NA,NA,"Orobanchaceae","insertion based on genus"
"392","Rhinanthus Minor",NA,NA,"Orobanchaceae","insertion based on genus"
"393","Lathraea Squamaria",NA,NA,"Orobanchaceae","insertion based on genus"
"394","Orobanche Reticulata",NA,NA,"Orobanchaceae","insertion based on genus"
"395","Pinguicula Grandiflora",NA,NA,"Lentibulariaceae","insertion based on genus"
"396","Utricularia Intermedia",NA,NA,"Lentibulariaceae","insertion based on genus"
"397","Plantago Lanceolata",NA,NA,"Plantaginaceae","insertion based on genus"
"399","Littorella Uniflora",NA,NA,"Plantaginaceae","insertion based on genus"
"400","Sambucus Racemosa",NA,NA,"Adoxaceae","insertion based on genus"
"401","Viburnum Opulus",NA,NA,"Adoxaceae","insertion based on genus"
"402","Symphoricarpos Albus",NA,NA,"Caprifoliaceae","insertion based on genus"
"403","Linnaea Borealis",NA,NA,"Caprifoliaceae","insertion based on genus"
"404","Leycesteria Formosa",NA,NA,"Caprifoliaceae","insertion based on genus"
"405","Lonicera Xylosteum",NA,NA,"Caprifoliaceae","insertion based on genus"
"406","Adoxa Moschatellina",NA,NA,"Adoxaceae","insertion based on genus"
"407","Valerianella Dentata",NA,NA,"Caprifoliaceae","insertion based on genus"
"408","Valeriana Officinalis",NA,NA,"Caprifoliaceae","insertion based on genus"
"410","Centranthus Ruber",NA,NA,"Caprifoliaceae","insertion based on genus"
"412","Dipsacus Fullonum",NA,NA,"Caprifoliaceae","insertion based on genus"
"413","Succisa Pratensis",NA,NA,"Caprifoliaceae","insertion based on genus"
"414","Knautia Arvensis",NA,NA,"Caprifoliaceae","insertion based on genus"
"416","Scabiosa Columbaria",NA,NA,"Caprifoliaceae","insertion based on genus"
"419","Campanula Latifolia",NA,NA,"Campanulaceae","insertion based on genus"
"420","Legousia Hybrida",NA,NA,"Campanulaceae","insertion based on genus"
"421","Phyteuma Spicatum",NA,NA,"Campanulaceae","insertion based on genus"
"422","Wahlenbergia Hederacea",NA,NA,"Campanulaceae","insertion based on genus"
"423","Jasione Montana",NA,NA,"Campanulaceae","insertion based on genus"
"425","Lobelia Urens",NA,NA,"Campanulaceae","insertion based on genus"
"426","Eupatorium Cannabinum",NA,NA,"Asteraceae","insertion based on genus"
"427","Solidago Virgaurea",NA,NA,"Asteraceae","insertion based on genus"
"428","Bellis Perennis",NA,NA,"Asteraceae","insertion based on genus"
"429","Aster Novi-Belgii",NA,NA,"Asteraceae","insertion based on genus"
