"plant_no","leafP","leafP_val","plant_name.x.x","genus.x.x","family.x.x","leafN","leafN_val","plant_name.y.x","genus.y.x","family.y.x","plant_name","no_bugs","cl","clonality_state","plant_name.x.y","genus.x.y","family.x.y","dicliny","dicliny_val","plant_name.y.y","genus.y.y","family.y.y"
12001004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","POLYPODIUM INTERJECTUM","Polypodium","Polypodiaceae",NA,NA,NA,NA,NA
16001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","THELYPTERIS PALUSTRIS","Thelypteris","Thelypteridaceae",NA,NA,NA,NA,NA
16002001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","OREOPTERIS LIMBOSPERMA","Oreopteris","Thelypteridaceae",NA,NA,NA,NA,NA
17001002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ASPLENIUM MARINUM","Asplenium","Aspleniaceae",NA,NA,NA,NA,NA
17001005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ASPLENIUM TRICHOMANES","Asplenium","Aspleniaceae",NA,NA,NA,NA,NA
17001015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ASPLENIUM OBOVATUM","Asplenium","Aspleniaceae",NA,NA,NA,NA,NA
17001017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ASPLENIUM ADIANTUM-NIGRUM","Asplenium","Aspleniaceae",NA,NA,NA,NA,NA
17001018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ASPLENIUM ONOPTERIS","Asplenium","Aspleniaceae",NA,NA,NA,NA,NA
17001022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ASPLENIUM RUTA-MURARIA","Asplenium","Aspleniaceae",NA,NA,NA,NA,NA
17001029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","PHYLLITIS SCOLOPENDRIUM","Phyylitis","Aspleniaceae",NA,NA,NA,NA,NA
18004001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","CYSTOPTERIS FRAGILIS","Cystopteris","Woodsiaceae",NA,NA,NA,NA,NA
18004004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","CYSTOPTERIS DICKIEANA","Cystopteris","Woodsiaceae",NA,NA,NA,NA,NA
18004005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","CYSTOPTERIS MONTANA","Cystopteris","Woodsiaceae",NA,NA,NA,NA,NA
18005001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","WOODSIA ILVENSIS	","Woodsia","Woodsiaceae",NA,NA,NA,NA,NA
18005002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","WOODSIA ALPINA","Woodsia","Woodsiaceae",NA,NA,NA,NA,NA
18006001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","GYMNOCARPIUM DRYOPTERIS","Gymnocarpium","Woodsiaceae",NA,NA,NA,NA,NA
18006002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","GYMNOCARPIUM ROBERTIANUM","Gymnocarpium","Woodsiaceae",NA,NA,NA,NA,NA
19001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","POLYSTICHUM LONCHITIS","Polystichum","Dryopteridaceae",NA,NA,NA,NA,NA
19001002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","POLYSTICHUM ACULEATUM","Polystichum","Dryopteridaceae",NA,NA,NA,NA,NA
19001003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","POLYSTICHUM SETIFERUM","Polystichum","Dryopteridaceae",NA,NA,NA,NA,NA
19003002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS AFFINIS","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS OREADES","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS SUBMONTANA","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS DILATATA","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS EXPANSA","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS REMOTA","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS AEMULA	","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS CARTHUSIANA","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
19003019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DRYOPTERIS CRISTATA","Dryopteris","Dryopteridaceae",NA,NA,NA,NA,NA
260070020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PINUS PINASTER",10,NA,NA,NA,NA,NA,"Dicliny","monoecious","PINUS PINASTER","PINUS","PINACEAE"
260070070,"Mature leaf P concentration (mg/g)","1-2","PINUS SYLVESTRIS","PINUS","PINACEAE","Mature leaf N concentration (mg/g)","10-20","PINUS SYLVESTRIS","PINUS","PINACEAE","PINUS SYLVESTRIS",65,"Clonality: normal state","Little or no vegetative spread","PINUS SYLVESTRIS","PINUS","PINACEAE","Dicliny","monoecious","PINUS SYLVESTRIS","PINUS","PINACEAE"
280050020,"Mature leaf P concentration (mg/g)","1-2","JUNIPERUS COMMUNIS","JUNIPERUS","CUPRESSACEAE","Mature leaf N concentration (mg/g)","10-20","JUNIPERUS COMMUNIS","JUNIPERUS","CUPRESSACEAE","JUNIPERUS COMMUNIS",16,"Clonality: normal state","Little or no vegetative spread","JUNIPERUS COMMUNIS","JUNIPERUS","CUPRESSACEAE","Dicliny","dioecious","JUNIPERUS COMMUNIS","JUNIPERUS","CUPRESSACEAE"
290010010,"Mature leaf P concentration (mg/g)","1-2","TAXUS BACCATA","TAXUS","TAXACEAE","Mature leaf N concentration (mg/g)","10-20","TAXUS BACCATA","TAXUS","TAXACEAE","TAXUS BACCATA",25,"Clonality: normal state","Little or no vegetative spread","TAXUS BACCATA","TAXUS","TAXACEAE","Dicliny","dioecious","TAXUS BACCATA","TAXUS","TAXACEAE"
310010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX PENTANDRA",5,"Clonality: normal state","Little or no vegetative spread","SALIX PENTANDRA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX PENTANDRA","SALIX","SALICACEAE"
310010020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX FRAGILIS",37,"Clonality: normal state","Little or no vegetative spread","SALIX FRAGILIS","SALIX","SALICACEAE","Dicliny","dioecious","SALIX FRAGILIS","SALIX","SALICACEAE"
310010030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX ALBA",40,"Clonality: normal state","Little or no vegetative spread","SALIX ALBA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX ALBA","SALIX","SALICACEAE"
310010050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX TRIANDRA",17,"Clonality: normal state","Little or no vegetative spread","SALIX TRIANDRA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX TRIANDRA","SALIX","SALICACEAE"
310010060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","SALIX RETICULATA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX RETICULATA","SALIX","SALICACEAE"
310010070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX HERBACEA",8,"Clonality: normal state","Rhizome far creeping","SALIX HERBACEA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX HERBACEA","SALIX","SALICACEAE"
310010130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SALIX MYRSINITES","SALIX","SALICACEAE","Dicliny","dioecious","SALIX MYRSINITES","SALIX","SALICACEAE"
310010230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SALIX LANATA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX LANATA","SALIX","SALICACEAE"
310010250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX PHYLICIFOLIA",4,"Clonality: normal state","Little or no vegetative spread","SALIX PHYLICIFOLIA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX PHYLICIFOLIA","SALIX","SALICACEAE"
310010298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX MYRSINIFOLIA",1,"Clonality: normal state","Little or no vegetative spread","SALIX MYRSINIFOLIA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX MYRSINIFOLIA","SALIX","SALICACEAE"
310010390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX CINEREA",69,"Clonality: normal state","Little or no vegetative spread","SALIX CINEREA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX CINEREA","SALIX","SALICACEAE"
310010408,"Mature leaf P concentration (mg/g)","1-2","SALIX CINEREA OLEIFOLIA","SALIX","SALICACEAE","Mature leaf N concentration (mg/g)","10-20","SALIX CINEREA OLEIFOLIA","SALIX","SALICACEAE",NA,NA,NA,NA,NA,NA,NA,"Dicliny","dioecious","SALIX CINEREA OLEIFOLIA","SALIX","SALICACEAE"
310010410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX AURITA",37,"Clonality: normal state","Little or no vegetative spread","SALIX AURITA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX AURITA","SALIX","SALICACEAE"
310010420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX CAPREA",63,"Clonality: normal state","Little or no vegetative spread","SALIX CAPREA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX CAPREA","SALIX","SALICACEAE"
310010490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX REPENS",26,"Clonality: normal state","Rhizome far creeping","SALIX REPENS","SALIX","SALICACEAE","Dicliny","dioecious","SALIX REPENS","SALIX","SALICACEAE"
310010520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SALIX ARBUSCULA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX ARBUSCULA","SALIX","SALICACEAE"
310010590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX LAPPONUM",3,"Clonality: normal state","Little or no vegetative spread","SALIX LAPPONUM","SALIX","SALICACEAE","Dicliny","dioecious","SALIX LAPPONUM","SALIX","SALICACEAE"
310010600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX VIMINALIS",39,"Clonality: normal state","Little or no vegetative spread","SALIX VIMINALIS","SALIX","SALICACEAE","Dicliny","dioecious","SALIX VIMINALIS","SALIX","SALICACEAE"
310010630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX PURPUREA",32,"Clonality: normal state","Little or no vegetative spread","SALIX PURPUREA","SALIX","SALICACEAE","Dicliny","dioecious","SALIX PURPUREA","SALIX","SALICACEAE"
310020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POPULUS ALBA",12,"Clonality: normal state","Clones formed by suckering from roots","POPULUS ALBA","POPULUS","SALICACEAE","Dicliny","dioecious","POPULUS ALBA","POPULUS","SALICACEAE"
310020020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POPULUS X CANESCENS",9,NA,NA,NA,NA,NA,"Dicliny","dioecious","POPULUS X CANESCENS","POPULUS","SALICACEAE"
310020040,"Mature leaf P concentration (mg/g)","2-3","POPULUS TREMULA","POPULUS","SALICACEAE","Mature leaf N concentration (mg/g)","20-30","POPULUS TREMULA","POPULUS","SALICACEAE","POPULUS TREMULA",58,"Clonality: normal state","Clones formed by suckering from roots","POPULUS TREMULA","POPULUS","SALICACEAE","Dicliny","dioecious","POPULUS TREMULA","POPULUS","SALICACEAE"
310020080,"Mature leaf P concentration (mg/g)","1-2","POPULUS NIGRA","POPULUS","SALICACEAE","Mature leaf N concentration (mg/g)","10-20","POPULUS NIGRA","POPULUS","SALICACEAE","POPULUS NIGRA",49,NA,NA,NA,NA,NA,"Dicliny","dioecious","POPULUS NIGRA","POPULUS","SALICACEAE"
310020129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","dioecious","POPULUS CANDICANS","POPULUS","SALICACEAE"
320010010,"Mature leaf P concentration (mg/g)","1-2","MYRICA GALE","MYRICA","MYRICACEAE","Mature leaf N concentration (mg/g)","20-30","MYRICA GALE","MYRICA","MYRICACEAE","MYRICA GALE",68,"Clonality: normal state","Rhizome far creeping","MYRICA GALE","MYRICA","MYRICACEAE","Dicliny","dioecious","MYRICA GALE","MYRICA","MYRICACEAE"
340010010,"Mature leaf P concentration (mg/g)",">3","BETULA PENDULA","BETULA","BETULACEAE","Mature leaf N concentration (mg/g)","20-30","BETULA PENDULA","BETULA","BETULACEAE","BETULA PENDULA",415,"Clonality: normal state","Little or no vegetative spread","BETULA PENDULA","BETULA","BETULACEAE","Dicliny","monoecious","BETULA PENDULA","BETULA","BETULACEAE"
340010020,"Mature leaf P concentration (mg/g)",">3","BETULA PUBESCENS","BETULA","BETULACEAE","Mature leaf N concentration (mg/g)","10-20","BETULA PUBESCENS","BETULA","BETULACEAE","BETULA PUBESCENS",401,"Clonality: normal state","Little or no vegetative spread","BETULA PUBESCENS","BETULA","BETULACEAE","Dicliny","monoecious","BETULA PUBESCENS","BETULA","BETULACEAE"
340010040,"Mature leaf P concentration (mg/g)","2-3","BETULA NANA","BETULA","BETULACEAE","Mature leaf N concentration (mg/g)","20-30","BETULA NANA","BETULA","BETULACEAE","BETULA NANA",2,"Clonality: normal state","Rhizome shortly creeping","BETULA NANA","BETULA","BETULACEAE","Dicliny","monoecious","BETULA NANA","BETULA","BETULACEAE"
340010040,"Mature leaf P concentration (mg/g)","2-3","BETULA NANA","BETULA","BETULACEAE","Mature leaf N concentration (mg/g)","20-30","BETULA NANA","BETULA","BETULACEAE","BETULA NANA",2,"Clonality: normal state","Rhizome shortly creeping","BETULA NANA","BETULA","BETULACEAE","Dicliny","monoecious","BETULA NANA","BETULA","BETULACEAE"
340020020,"Mature leaf P concentration (mg/g)","1-2","ALNUS GLUTINOSA","ALNUS","BETULACEAE","Mature leaf N concentration (mg/g)","20-30","ALNUS GLUTINOSA","ALNUS","BETULACEAE","ALNUS GLUTINOSA",47,"Clonality: normal state","Little or no vegetative spread","ALNUS GLUTINOSA","ALNUS","BETULACEAE","Dicliny","monoecious","ALNUS GLUTINOSA","ALNUS","BETULACEAE"
340020020,"Mature leaf P concentration (mg/g)","1-2","ALNUS GLUTINOSA","ALNUS","BETULACEAE","Mature leaf N concentration (mg/g)","20-30","ALNUS GLUTINOSA","ALNUS","BETULACEAE","ALNUS GLUTINOSA",47,"Clonality: normal state","Little or no vegetative spread","ALNUS GLUTINOSA","ALNUS","BETULACEAE","Dicliny","dioecious","ALNUS GLUTINOSA","ALNUS","BETULACEAE"
350010010,"Mature leaf P concentration (mg/g)","1-2","CARPINUS BETULUS","CARPINUS","BETULACEAE",NA,NA,NA,NA,NA,"CARPINUS BETULUS",20,"Clonality: normal state","Little or no vegetative spread","CARPINUS BETULUS","CARPINUS","BETULACEAE","Dicliny","monoecious","CARPINUS BETULUS","CARPINUS","BETULACEAE"
350030010,"Mature leaf P concentration (mg/g)","1-2","CORYLUS AVELLANA","CORYLUS","BETULACEAE","Mature leaf N concentration (mg/g)","20-30","CORYLUS AVELLANA","CORYLUS","BETULACEAE","CORYLUS AVELLANA",32,"Clonality: normal state","Little or no vegetative spread","CORYLUS AVELLANA","CORYLUS","BETULACEAE","Dicliny","monoecious","CORYLUS AVELLANA","CORYLUS","BETULACEAE"
360010010,"Mature leaf P concentration (mg/g)","2-3","FAGUS SYLVATICA","FAGUS","FAGACEAE","Mature leaf N concentration (mg/g)","20-30","FAGUS SYLVATICA","FAGUS","FAGACEAE","FAGUS SYLVATICA",23,"Clonality: normal state","Little or no vegetative spread","FAGUS SYLVATICA","FAGUS","FAGACEAE","Dicliny","monoecious","FAGUS SYLVATICA","FAGUS","FAGACEAE"
360020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASTANEA SATIVA",9,"Clonality: normal state","Little or no vegetative spread","CASTANEA SATIVA","CASTANEA","FAGACEAE","Dicliny","monoecious","CASTANEA SATIVA","CASTANEA","FAGACEAE"
360030090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUERCUS CERRIS",8,"Clonality: normal state","Little or no vegetative spread","QUERCUS CERRIS","QUERCUS","FAGACEAE","Dicliny","monoecious","QUERCUS CERRIS","QUERCUS","FAGACEAE"
360030120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUERCUS PETRAEA",95,"Clonality: normal state","Little or no vegetative spread","QUERCUS PETRAEA","QUERCUS","FAGACEAE","Dicliny","monoecious","QUERCUS PETRAEA","QUERCUS","FAGACEAE"
360030150,"Mature leaf P concentration (mg/g)","1-2","QUERCUS ROBUR","QUERCUS","FAGACEAE","Mature leaf N concentration (mg/g)","20-30","QUERCUS ROBUR","QUERCUS","FAGACEAE","QUERCUS ROBUR",128,"Clonality: normal state","Little or no vegetative spread","QUERCUS ROBUR","QUERCUS","FAGACEAE","Dicliny","monoecious","QUERCUS ROBUR","QUERCUS","FAGACEAE"
370010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULMUS GLABRA",31,"Clonality: normal state","Little or no vegetative spread","ULMUS GLABRA","ULMUS","ULMACEAE","Dicliny","hermaphrodite","ULMUS GLABRA","ULMUS","ULMACEAE"
370010020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULMUS PROCERA",20,"Clonality: normal state","Clones formed by suckering from roots","ULMUS PROCERA","ULMUS","ULMACEAE",NA,NA,NA,NA,NA
370010030,"Mature leaf P concentration (mg/g)","1-2","ULMUS MINOR","ULMUS","ULMACEAE","Mature leaf N concentration (mg/g)","20-30","ULMUS MINOR","ULMUS","ULMACEAE","ULMUS MINOR",19,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","ULMUS MINOR","ULMUS","ULMACEAE"
390010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUMULUS LUPULUS",9,"Clonality: normal state","Rhizome far creeping","HUMULUS LUPULUS","HUMULUS","CANNABACEAE","Dicliny","dioecious","HUMULUS LUPULUS","HUMULUS","CANNABACEAE"
400010020,"Mature leaf P concentration (mg/g)",">3","URTICA DIOICA","URTICA","URTICACEAE","Mature leaf N concentration (mg/g)",">30","URTICA DIOICA","URTICA","URTICACEAE","URTICA DIOICA",28,"Clonality: normal state","Rhizome far creeping","URTICA DIOICA","URTICA","URTICACEAE","Dicliny","dioecious","URTICA DIOICA","URTICA","URTICACEAE"
400010060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URTICA URENS",3,"Clonality: normal state","Little or no vegetative spread","URTICA URENS","URTICA","URTICACEAE","Dicliny","monoecious","URTICA URENS","URTICA","URTICACEAE"
400030028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARIETARIA JUDAICA",1,"Clonality: normal state","Little or no vegetative spread","PARIETARIA JUDAICA","PARIETARIA","URTICACEAE","Dicliny","trioecious","PARIETARIA JUDAICA","PARIETARIA","URTICACEAE"
400040010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","SOLEIROLIA SOLEIROLII","SOLEIROLIA","URTICACEAE","Dicliny","monoecious","SOLEIROLIA SOLEIROLII","SOLEIROLIA","URTICACEAE"
